epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,59.4063,0.87286,5.51948,0.02206,0.76842,0.63434,0.74733,0.44036,1.15992,10.9795,0.04474,0.000412186,0.000412186,0.000412186
2,89.3526,0.97316,3.70283,0.0245,0.91779,0.92682,0.96037,0.61645,1.14299,6.44131,0.04507,0.00079603,0.00079603,0.00079603
3,119.177,1.03505,2.64506,0.02625,0.93793,0.90177,0.95048,0.59352,1.43154,3.9172,0.06014,0.00114687,0.00114687,0.00114687
4,148.805,1.06344,1.89183,0.02715,0.92317,0.853,0.93696,0.63474,1.11404,2.68021,0.04407,0.0011015,0.0011015,0.0011015
5,179.678,1.02742,1.43445,0.02594,0.93083,0.92975,0.95382,0.6408,1.10161,1.73582,0.04305,0.001052,0.001052,0.001052
6,208.867,0.95899,1.17682,0.02401,0.91724,0.87119,0.94024,0.64412,1.22408,1.48495,0.04866,0.0010025,0.0010025,0.0010025
7,238.265,0.94877,1.0756,0.02336,0.96759,0.9261,0.97485,0.67168,1.25217,1.02814,0.04939,0.000953,0.000953,0.000953
8,267.412,0.9485,0.93959,0.02356,0.94097,0.91389,0.96478,0.62719,1.26503,1.10786,0.0517,0.0009035,0.0009035,0.0009035
9,296.68,0.92449,0.86425,0.02264,0.93563,0.92114,0.96416,0.64236,1.12904,0.80649,0.04405,0.000854,0.000854,0.000854
10,326.262,0.93138,0.81466,0.02293,0.93054,0.95078,0.96082,0.67004,1.05558,0.74482,0.04178,0.0008045,0.0008045,0.0008045
11,355.971,0.8826,0.76474,0.02145,0.97305,0.93892,0.98429,0.70037,1.04556,0.63765,0.04038,0.000755,0.000755,0.000755
12,385.353,0.83618,0.66793,0.02007,0.93794,0.94312,0.96914,0.70347,0.9624,0.67783,0.03707,0.0007055,0.0007055,0.0007055
13,414.882,0.8305,0.65098,0.01991,0.93537,0.9717,0.98489,0.72268,1.00898,0.55395,0.03963,0.000656,0.000656,0.000656
14,444.608,0.79362,0.6344,0.01881,0.96414,0.94344,0.97838,0.65706,1.19486,0.60269,0.04824,0.0006065,0.0006065,0.0006065
15,473.85,0.80979,0.61061,0.0193,0.98338,0.93352,0.97937,0.71987,1.00989,0.54818,0.03887,0.000557,0.000557,0.000557
16,504.084,0.7077,0.40653,0.02594,0.9664,0.94701,0.96432,0.7067,0.99109,0.57322,0.03811,0.0005075,0.0005075,0.0005075
17,530.334,0.64227,0.32848,0.02353,0.931,0.94027,0.97177,0.69322,1.05143,0.58354,0.04173,0.000458,0.000458,0.000458
18,557.763,0.62033,0.31634,0.02212,0.97332,0.91911,0.9743,0.72544,0.92476,0.47899,0.03556,0.0004085,0.0004085,0.0004085
19,585.361,0.57591,0.2614,0.02093,0.95146,0.9825,0.98885,0.73632,0.90633,0.43727,0.03494,0.000359,0.000359,0.000359
20,612.886,0.52934,0.25726,0.01903,0.94494,0.98481,0.98729,0.72726,0.89714,0.47362,0.03451,0.0003095,0.0003095,0.0003095
21,640.349,0.50798,0.23348,0.0179,0.95042,0.9579,0.98396,0.72571,0.94148,0.46101,0.03592,0.00026,0.00026,0.00026
22,666.943,0.50138,0.23795,0.01791,0.96784,0.94429,0.98256,0.72551,0.92042,0.47102,0.03508,0.0002105,0.0002105,0.0002105
23,693.581,0.47066,0.214,0.01661,0.95472,0.96504,0.98424,0.73462,0.92487,0.47612,0.03582,0.000161,0.000161,0.000161
24,721.145,0.47991,0.22058,0.01699,0.95518,0.96605,0.98471,0.73552,0.91571,0.48777,0.03498,0.0001115,0.0001115,0.0001115
25,748.831,0.46696,0.2074,0.01625,0.9595,0.97716,0.98564,0.7326,0.91166,0.46355,0.03471,6.2e-05,6.2e-05,6.2e-05
